Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
PG,Jose Calderon,3000,BKN@CLE 11/22/2017 07:00PM ET,5.5,CLE,1,
PG,London Perrantes,3000,BKN@CLE 11/22/2017 07:00PM ET,0,CLE,,
SF/PF,Harrison Barnes,5600,DAL@MEM 11/22/2017 08:00PM ET,32.25,DAL,1,
PG/SG,Dennis Smith Jr.,5500,DAL@MEM 11/22/2017 08:00PM ET,27.688,DAL,1,
PG/SG,J.J. Barea,4300,DAL@MEM 11/22/2017 08:00PM ET,23.903,DAL,,
SG/SF,Wesley Matthews,4300,DAL@MEM 11/22/2017 08:00PM ET,24.153,DAL,1,
PF/C,Dirk Nowitzki,4200,DAL@MEM 11/22/2017 08:00PM ET,21.986,DAL,1,
PG/SG,Seth Curry,3900,DAL@MEM 11/22/2017 08:00PM ET,0,DAL,,2
PG/SG,Yogi Ferrell,3800,DAL@MEM 11/22/2017 08:00PM ET,18.736,DAL,,
PG/SG,Devin Harris,3500,DAL@MEM 11/22/2017 08:00PM ET,14.583,DAL,,
C,Nerlens Noel,3400,DAL@MEM 11/22/2017 08:00PM ET,12.766,DAL,,
C,Salah Mejri,3300,DAL@MEM 11/22/2017 08:00PM ET,14.712,DAL,,
PF/C,Dwight Powell,3200,DAL@MEM 11/22/2017 08:00PM ET,13.471,DAL,,
C,Jeff Withey,3000,DAL@MEM 11/22/2017 08:00PM ET,3.464,DAL,,
PF/C,Josh McRoberts,3000,DAL@MEM 11/22/2017 08:00PM ET,0,DAL,,2
PF/C,Johnathan Motley,3000,DAL@MEM 11/22/2017 08:00PM ET,0,DAL,,
PF,Maxi Kleber,3000,DAL@MEM 11/22/2017 08:00PM ET,7.292,DAL,1,
SG,Antonius Cleveland,3000,DAL@MEM 11/22/2017 08:00PM ET,4,DAL,,
SF,Dorian Finney-Smith,3000,DAL@MEM 11/22/2017 08:00PM ET,5.875,DAL,,2
C,Nikola Jokic,8900,DEN@HOU 11/22/2017 08:00PM ET,41.103,DEN,1,
PF/C,Paul Millsap,6900,DEN@HOU 11/22/2017 08:00PM ET,31.828,DEN,,2
SG/SF,Will Barton,5400,DEN@HOU 11/22/2017 08:00PM ET,28.574,DEN,1,
PG/SG,Jamal Murray,5300,DEN@HOU 11/22/2017 08:00PM ET,22.588,DEN,1,
SG,Gary Harris,5200,DEN@HOU 11/22/2017 08:00PM ET,25.95,DEN,1,
SF/PF,Wilson Chandler,4800,DEN@HOU 11/22/2017 08:00PM ET,20.719,DEN,,1
PG,Emmanuel Mudiay,4300,DEN@HOU 11/22/2017 08:00PM ET,21.485,DEN,,
SF/PF,Juancho Hernangomez,3600,DEN@HOU 11/22/2017 08:00PM ET,6.75,DEN,,
PF/C,Mason Plumlee,3600,DEN@HOU 11/22/2017 08:00PM ET,16.574,DEN,,
PF/C,Kenneth Faried,3400,DEN@HOU 11/22/2017 08:00PM ET,9.533,DEN,1,
SF/PF,Trey Lyles,3200,DEN@HOU 11/22/2017 08:00PM ET,7.146,DEN,,
SF/PF,Richard Jefferson,3000,DEN@HOU 11/22/2017 08:00PM ET,2.6,DEN,,
SG/SF,Torrey Craig,3000,DEN@HOU 11/22/2017 08:00PM ET,0,DEN,,
PG,Monte Morris,3000,DEN@HOU 11/22/2017 08:00PM ET,0,DEN,,
PF,Darrell Arthur,3000,DEN@HOU 11/22/2017 08:00PM ET,4.375,DEN,,
PF,Tyler Lydon,3000,DEN@HOU 11/22/2017 08:00PM ET,0,DEN,,
SG,Malik Beasley,3000,DEN@HOU 11/22/2017 08:00PM ET,5.453,DEN,,
SF/PF,Kevin Durant,10000,GS@OKC 11/22/2017 08:00PM ET,46.517,GS,1,1
PG/SG,Stephen Curry,9400,GS@OKC 11/22/2017 08:00PM ET,46.516,GS,1,
PF/C,Draymond Green,7600,GS@OKC 11/22/2017 08:00PM ET,34.632,GS,1,
SG,Klay Thompson,7200,GS@OKC 11/22/2017 08:00PM ET,33.191,GS,1,
SG/SF,Andre Iguodala,4000,GS@OKC 11/22/2017 08:00PM ET,16.517,GS,,
SF/PF,Omri Casspi,3600,GS@OKC 11/22/2017 08:00PM ET,12.375,GS,,
PG/SG,Shaun Livingston,3600,GS@OKC 11/22/2017 08:00PM ET,12.517,GS,,
PF/C,David West,3500,GS@OKC 11/22/2017 08:00PM ET,16.297,GS,,
SG,Nick Young,3300,GS@OKC 11/22/2017 08:00PM ET,11.188,GS,,
SG/SF,Patrick McCaw,3200,GS@OKC 11/22/2017 08:00PM ET,7.143,GS,,
C,Zaza Pachulia,3100,GS@OKC 11/22/2017 08:00PM ET,12.941,GS,1,
C,JaVale McGee,3000,GS@OKC 11/22/2017 08:00PM ET,9.733,GS,,
C,Damian Jones,3000,GS@OKC 11/22/2017 08:00PM ET,0,GS,,
SF/PF,Kevon Looney,3000,GS@OKC 11/22/2017 08:00PM ET,10.225,GS,,
PF/C,Jordan Bell,3000,GS@OKC 11/22/2017 08:00PM ET,8.792,GS,,
PG,Quinn Cook,3000,GS@OKC 11/22/2017 08:00PM ET,1,GS,,
PF,Chris Boucher,3000,GS@OKC 11/22/2017 08:00PM ET,0,GS,,2
PG/SG,James Harden,11300,DEN@HOU 11/22/2017 08:00PM ET,57.515,HOU,1,
