Player,League Value,Proj Value,Avg Cost,FGM,FG%,FTM,3PTM,PTS,REB,AST,ST,BLK,FGM Percentile,FG% Percentile,FTM Percentile,3PTM Percentile,PTS Percentile,REB Percentile,AST Percentile,STL Percentile,BLK Percentile,FGM Z-Score,FG% Z-Score,FTM Z-Score,3PTM Z-Score,PTS Z-Score,REB Z-Score,AST Z-Score,STL Z-Score,BLK Z-Score,Mean Percentile,Mean Percentile/Avg Cost,Mean Z-Score,Mean Z-Score/Avg Cost,Fitted Avg Cost,Avg Cost Residaual
"Myles Turner Ind - F,C",29,29,31.2,444,0.511,245,40,1173,589,106,73,173,0.853658537,0.787456446,0.867595819,0.348432056,0.846689895,0.916376307,0.442508711,0.735191638,0.996515679,0.916547577,0.717669226,0.89753792,-0.524872757,0.802435745,1.37870694,-0.420671672,0.532743192,4.234805338,0.754936121,21.94315051,0.94832239,27.56416121,30.60281039,0.597189614
C.J. McCollum Por - G,28,28,30.6,692,0.48,268,185,1837,289,285,72,42,0.979094077,0.693379791,0.87804878,0.951219512,0.958188153,0.540069686,0.850174216,0.724738676,0.745644599,2.455245843,0.23438864,1.08982794,1.863860813,2.238816909,-0.180125742,0.793438766,0.499598319,0.189170062,0.813395277,23.77653536,1.020469061,29.82955447,33.76544422,-3.16544422
"Joel Embiid Phi - F,C",27,27,30.5,200,0.466,191,36,627,243,66,27,76,0.31358885,0.602787456,0.801393728,0.320557491,0.432055749,0.400696864,0.240418118,0.142857143,0.885017422,-0.597332974,0.016132891,0.446074395,-0.590768855,-0.378684911,-0.419146753,-0.691981267,-0.991920935,1.239182271,0.459930314,13.45719995,-0.218716237,-6.399465425,2.395985926,28.10401407
"Klay Thompson GS - G,F",27,27,30.8,644,0.468,186,268,1742,285,160,66,40,0.947735192,0.6271777,0.787456446,0.996515679,0.930313589,0.533101045,0.637630662,0.679442509,0.721254355,2.157433276,0.047312284,0.404272216,3.231204857,2.033310568,-0.200910177,-0.054403718,0.300729085,0.127404638,0.762291909,22.24036883,0.894039225,26.08418362,28.20495568,2.595044317
Bradley Beal Was - G,25,25,26.6,637,0.482,282,223,1779,240,267,83,21,0.940766551,0.707317073,0.885017422,0.979094077,0.93728223,0.390243902,0.818815331,0.822299652,0.407665505,2.114002276,0.265568033,1.206874039,2.489873749,2.113349879,-0.434735079,0.671349448,0.864191915,-0.459366891,0.765389082,23.3285521,0.981234152,29.90736681,32.0506569,-5.450656905
Marc Gasol Mem - C,25,25,25.9,532,0.459,278,104,1446,463,338,67,99,0.895470383,0.554006969,0.881533101,0.717770035,0.902439024,0.804878049,0.888501742,0.68989547,0.954703833,1.462537285,-0.092994983,1.173432297,0.529464819,1.392996073,0.723997214,1.152923979,0.333873958,1.949484648,0.809910956,24.88784532,0.95841281,29.45117556,31.047417,-5.147417
"DeMar DeRozan Tor - G,F",25,25,28,721,0.467,545,33,2020,386,290,78,13,0.986062718,0.613240418,0.986062718,0.31358885,0.979094077,0.714285714,0.853658537,0.777003484,0.233449477,2.635174269,0.031722588,3.405668617,-0.640190929,2.634687019,0.323896825,0.827352465,0.698467553,-0.706428587,0.717382888,21.5287773,1.023372202,30.71156645,33.89172079,-5.891720795
Eric Bledsoe Pho - G,24,24,25.1,449,0.434,388,104,1390,320,418,91,31,0.857142857,0.327526132,0.954703833,0.717770035,0.888501742,0.62369338,0.926829268,0.888501742,0.585365854,0.94756972,-0.482737391,2.093080219,0.529464819,1.271855493,-0.019046364,1.695543169,1.129350893,-0.150539771,0.752226094,23.34027114,0.779393421,24.18322618,23.16894537,1.931054629
"Blake Griffin LAC - F,C",23,23,23.5,479,0.493,320,38,1316,497,300,57,23,0.87456446,0.742160279,0.919860627,0.334494774,0.87804878,0.850174216,0.860627178,0.585365854,0.442508711,1.133702575,0.437054692,1.524570594,-0.557820806,1.111776869,0.900664917,0.895179864,0.002425235,-0.397601467,0.720867209,22.83392818,0.56110583,17.77338472,14.25970667,9.240293329
Goran Dragic Mia - G,22,22,22.3,534,0.475,298,117,1483,279,424,89,13,0.898954704,0.662020906,0.895470383,0.790940767,0.905923345,0.519163763,0.930313589,0.87456446,0.233449477,1.474946142,0.156440158,1.34064101,0.743627139,1.473035385,-0.232086831,1.736239608,1.063061149,-0.706428587,0.745644599,24.01751591,0.783275019,25.22960704,23.33745561,-1.037455608
"Kevin Love Cle - F,C",21,21,23.6,370,0.427,257,145,1142,666,116,53,21,0.721254355,0.275261324,0.87456446,0.885017422,0.818815331,0.947735192,0.480836237,0.540069686,0.407665505,0.457419869,-0.591865266,0.997863148,1.204899829,0.735375781,1.778807328,-0.352844273,-0.130154255,-0.459366891,0.661246612,20.91727324,0.404459474,12.79430273,9.01753485,14.58246515
"Khris Middleton Mil - G,F",21,21,21.3,150,0.45,81,45,426,122,99,41,7,0.153310105,0.459930314,0.383275261,0.404181185,0.181184669,0.066202091,0.421602787,0.355400697,0.097560976,-0.907554399,-0.23330225,-0.473573528,-0.442502633,-0.813493064,-1.047875934,-0.468150851,-0.527892722,-0.891724859,0.280294232,9.163814149,-0.645118916,-21.09122908,3.199013531,18.10098647
Otto Porter Was - F,21,21,19.5,414,0.516,99,148,1075,514,121,116,42,0.818815331,0.822299652,0.494773519,0.902439024,0.787456446,0.87456446,0.505226481,0.944250871,0.745644599,0.730414723,0.795617708,-0.323085686,1.254321902,0.59043973,0.988998769,-0.318930574,1.957972701,0.189170062,0.766163376,25.79314721,0.651657704,21.93827533,17.78726094,1.712739057
Brook Lopez LAL - C,20,20,22,555,0.474,295,134,1539,403,176,38,124,0.916376307,0.658536585,0.888501742,0.850174216,0.912891986,0.745644599,0.668989547,0.292682927,0.975609756,1.60523914,0.140850462,1.315559703,1.023685558,1.594175965,0.412230677,0.05412012,-0.627327339,2.721552449,0.767711963,24.83666835,0.915565193,29.61994882,29.15654168,-7.156541681
"Paul Millsap Den - F,C",20,20,20.8,430,0.442,311,75,1246,533,252,90,62,0.839721254,0.390243902,0.912891986,0.574912892,0.867595819,0.891986063,0.801393728,0.881533101,0.850174216,0.829685579,-0.358019821,1.449326673,0.051718105,0.960351144,1.087724839,0.56960835,1.096206021,0.806824303,0.778939218,25.66561068,0.721491688,23.77274677,20.68469961,0.115300391
Ricky Rubio Uta - G,19,19,17.8,261,0.402,254,60,836,305,682,128,10,0.50174216,0.135888502,0.871080139,0.505226481,0.630662021,0.588850174,0.989547038,0.968641115,0.160278746,-0.218862836,-0.981607674,0.972781841,-0.195392264,0.07342904,-0.096987999,3.486186496,2.355711169,-0.799076723,0.594657375,20.65357369,0.510686783,17.73711645,12.43924748,5.360752518
Isaiah Thomas Cle - G,19,19,38.7,682,0.463,590,245,2199,205,448,70,13,0.975609756,0.585365854,0.993031359,0.986062718,0.993031359,0.289198606,0.947735192,0.710801394,0.233449477,2.393201558,-0.030636198,3.781888222,2.85230229,3.02190423,-0.616598892,1.899025365,0.433308575,-0.706428587,0.746031746,20.40657763,1.44755184,39.5956059,50.95735196,-12.25735196
"Al Horford Bos - F,C",19,19,17.7,379,0.473,108,86,952,465,337,52,86,0.738675958,0.651567944,0.547038328,0.62369338,0.707317073,0.808362369,0.885017422,0.526132404,0.916376307,0.513259726,0.125260766,-0.247841765,0.232932376,0.324363099,0.734389431,1.146141239,-0.163299127,1.548009391,0.711575687,24.76282167,0.468135015,16.29109047,10.99691144,6.703088556
Jrue Holiday NO - G,18,18,14.1,405,0.454,119,100,1029,264,488,100,44,0.790940767,0.50174216,0.599303136,0.693379791,0.759581882,0.487804878,0.958188153,0.926829268,0.777003484,0.674574866,-0.170943465,-0.155876973,0.463568721,0.490931396,-0.310028465,2.17033496,1.427654744,0.250935486,0.721641502,27.27111991,0.537905697,20.32767062,13.40783026,0.69216974
DeAndre Jordan LAC - C,17,17,18.6,412,0.714,205,0,1029,1114,96,50,134,0.808362369,1,0.822299652,0.12195122,0.759581882,0.996515679,0.390243902,0.49825784,0.982578397,0.718005866,3.882377582,0.563120494,-1.183833741,0.490931396,4.106664132,-0.48849907,-0.229588872,3.030379569,0.70886566,24.249965,1.209950817,41.39185549,41.75491749,-23.15491749
Jeff Teague Min - G,17,17,18.6,402,0.442,360,90,1254,331,639,101,32,0.783972125,0.390243902,0.944250871,0.648083624,0.871080139,0.641114983,0.982578397,0.930313589,0.606271777,0.655961581,-0.358019821,1.858988021,0.298828474,0.977656941,0.038110834,3.194528681,1.460799616,-0.119657058,0.755323268,25.83925817,0.889688585,30.43583329,28.01262819,-9.412628194
Jusuf Nurkic Por - C,16,16,19.5,271,0.507,120,0,662,467,123,50,74,0.526132404,0.783972125,0.606271777,0.12195122,0.477351916,0.81184669,0.522648084,0.49825784,0.881533101,-0.156818551,0.655310441,-0.147516537,-1.183833741,-0.302972048,0.744781649,-0.305365094,-0.229588872,1.177416847,0.58110724,19.56317027,0.027934899,0.940437762,2.439657992,17.06034201
"Nikola Vucevic Orl - F,C",16,16,13.5,483,0.468,107,23,1096,779,208,76,74,0.881533101,0.6271777,0.543554007,0.254355401,0.794425087,0.965156794,0.74912892,0.759581882,0.881533101,1.158520289,0.047312284,-0.256202201,-0.804931175,0.635867447,2.365967638,0.271167796,0.632177808,1.177416847,0.717382888,27.56313563,0.580810748,22.31578937,15.00109827,-1.501098271
"LaMarcus Aldridge SA - F,C",16,16,14.4,500,0.477,220,23,1243,523,139,46,88,0.888501742,0.679442509,0.832752613,0.254355401,0.864111498,0.881533101,0.571428571,0.432055749,0.919860627,1.263995573,0.187619551,0.688527029,-0.804931175,0.95386147,1.03576375,-0.196841256,-0.362168361,1.609774815,0.702671312,26.34462663,0.486177933,18.22783411,11.59738348,2.802616518
"Serge Ibaka Tor - F,C",15,15,15.5,471,0.48,107,124,1173,538,75,41,124,0.867595819,0.693379791,0.543554007,0.822299652,0.846689895,0.895470383,0.285714286,0.355400697,0.975609756,1.084067147,0.23438864,-0.256202201,0.858945312,0.802435745,1.113705384,-0.630936608,-0.527892722,2.721552449,0.698412698,25.48170241,0.600007016,21.89135487,15.73818872,-0.238188717
Dennis Schroder Atl - G,14,14,17,548,0.451,218,100,1414,248,499,74,16,0.909407666,0.470383275,0.829268293,0.693379791,0.891986063,0.43902439,0.961672474,0.742160279,0.296167247,1.56180814,-0.217712554,0.671806157,0.463568721,1.323772884,-0.393166208,2.244945099,0.565888064,-0.613780451,0.692605497,24.44593518,0.623014428,21.98967576,16.63966778,0.360332217
Carmelo Anthony OKC - F,13,13,18.7,602,0.433,304,151,1659,437,213,61,33,0.926829268,0.31358885,0.905923345,0.916376307,0.923344948,0.773519164,0.766550523,0.634146341,0.62369338,1.896847279,-0.498327088,1.390803624,1.303743976,1.853762922,0.588898381,0.305081495,0.135004724,-0.088774346,0.753774681,25.73906866,0.765226774,26.13012215,22.55579817,-3.855798174
Devin Booker Pho - G,13,13,19.2,606,0.423,367,147,1726,249,268,72,21,0.930313589,0.236933798,0.951219512,0.895470383,0.926829268,0.442508711,0.822299652,0.724738676,0.407665505,1.921664993,-0.654224051,1.91751107,1.237847878,1.998698973,-0.387970099,0.678132188,0.499598319,-0.459366891,0.704219899,23.83219228,0.750210265,25.38859707,21.90937048,-2.709370479
Victor Oladipo Ind - G,13,13,11.3,412,0.442,116,127,1067,291,176,77,21,0.808362369,0.390243902,0.574912892,0.829268293,0.780487805,0.547038328,0.668989547,0.766550523,0.407665505,0.718005866,-0.358019821,-0.18095828,0.908367385,0.573133933,-0.169733524,0.05412012,0.665322681,-0.459366891,0.641502129,26.45584824,0.194541274,8.022973263,4.232733849,7.067266151
Ben Simmons Phi - F,13,13,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Drummond Det - F,C",12,12,15.7,483,0.53,137,2,1105,1115,90,124,89,0.881533101,0.864111498,0.668989547,0.149825784,0.804878049,1,0.358885017,0.958188153,0.926829268,1.158520289,1.013873457,-0.005389131,-1.150885692,0.655336469,4.111860241,-0.52919551,2.223131679,1.640657528,0.734804491,26.68464156,1.013101037,36.79106261,33.44455518,-17.74455518
