GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,Column1
4677,"Smart, Marcus",Marcus Smart,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,35.05,1,1,37.3,34.75,31.75,37.3,12pt 9rb 3as 2st 2bl 2to 5-16fg 2-3ft,0,0,5300,,4800,,,,18,,1,12,,2,
3641,"Iguodala, Andre",Andre Iguodala,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,0,0,0,0,0,0,0,,0,0,4300,,3600,,,,12,,3,23,,2,
4074,"Love, Kevin",Kevin Love,20171017,cle,bos,H,20171017-bos-cle,20,102,99,1,28.4,1,1,26.2,29.75,29.25,26.2,15pt 11rb 2to 1trey 4-9fg 6-7ft,1,0,7000,,7800,,,,33,,4,45,,4,
5127,"Nader, Abdel",Abdel Nader,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,2,4,,4,
3573,"West, David",David West,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,9.416666667,1,1,7.2,6.75,6.5,7.2,4pt 1rb 1bl 1to 2-3fg,0,0,3100,,3100,,,,10,,4,4,,4,
5117,"Boucher, Chris",Chris Boucher,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,4,4,,4,
4933,"Jones, Damian",Damian Jones,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,5,5,,5,
4380,"Thompson, Tristan",Tristan Thompson,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,19.6,1,1,13.2,14.5,13.75,13.2,5pt 6rb 2as 2to 2-3fg 1-3ft,0,0,5200,,3900,,,,16,,5,5,,5,
4908,"Williams, Troy",Troy Williams,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,3,2,,2,
3547,"Korver, Kyle",Kyle Korver,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,7.316666667,1,1,0,0,0,0,0pt,0,0,3200,,3300,,,,10,,2,23,,2,
