"Player","League Value","Proj Value","Avg Cost","% Owned","FGM/A","FG%","FTM","3PTM","PTS","REB","AST","ST","BLK"
"Channing Frye Cle - F,C","$0 ","$0 ","$1.50 ","3%","238/520","0.458","63","137","676","290","45","33","38"
"Dwight Powell Dal - F,C","$0 ","$0 ","$-","3%","194/377","0.515","107","21","516","306","49","61","39"
"Amir Johnson Phi - F,C","$0 ","$0 ","$-","2%","213/370","0.576","67","27","520","366","140","51","62"
"Thabo Sefolosha Uta - G,F","$0 ","$0 ","$-","1%","174/395","0.441","55","41","444","270","107","96","31"
"Ish Smith Det - G","$0 ","$0 ","$1.20 ","11%","329/749","0.439","72","28","758","235","418","61","33"
"Zaza Pachulia GS - C","$0 ","$0 ","$1.20 ","6%","164/307","0.534","98","0","426","410","132","59","33"
"Garrett Temple Sac - G","$0 ","$0 ","$-","1%","183/432","0.424","58","82","506","184","168","84","28"
"Marreese Speights Orl - F,C","$0 ","$0 ","$-","2%","244/548","0.445","120","103","711","373","66","23","41"
"Matt Barnes GS - G,F","$0 ","$0 ","$-","1%","185/473","0.391","70","87","527","384","195","48","26"
"Solomon Hill NO - G,F","$0 ","$0 ","$-","1%","183/478","0.383","103","94","563","307","141","72","32"
"Vince Carter Sac - G,F","$0 ","$0 ","$-","2%","193/490","0.394","88","112","586","227","133","60","36"
"David Lee SA - F,C","$0 ","$0 ","$-","1%","248/420","0.59","80","0","576","441","123","31","40"
"Justin Holiday Chi - G,F","$0 ","$0 ","$-","9%","233/538","0.433","66","97","629","226","102","65","31"
"Marco Belinelli Atl - G,F","$0 ","$0 ","$-","2%","264/615","0.429","150","102","780","178","147","44","9"
"Raymond Felton OKC - G","$0 ","$0 ","$-","1%","221/514","0.43","50","46","538","218","191","66","22"
"Nick Young GS - G,F","$0 ","$0 ","$1.20 ","7%","272/633","0.43","77","170","791","138","58","37","14"
"Manu Ginobili SA - G,F","$0 ","$0 ","$1.10 ","4%","171/439","0.39","86","89","517","157","183","82","16"
"Jameer Nelson Den - G","$0 ","$0 ","$-","1%","268/604","0.444","45","106","687","192","385","54","8"
"Nik Stauskas Phi - G,F","$0 ","$0 ","$-","1%","251/634","0.396","122","132","756","226","188","45","32"
"Dante Cunningham NO - F","$0 ","$0 ","$-","1%","174/359","0.485","16","71","435","277","37","39","28"
"David West GS - F","$0 ","$0 ","$-","1%","135/252","0.536","43","3","316","203","151","42","48"
"Luc Richard Mbah a Moute Hou - F","$0 ","$0 ","$-","1%","191/378","0.505","59","43","484","170","39","81","35"
"Luol Deng LAL - F","$0 ","$0 ","$-","1%","164/424","0.387","46","51","425","295","74","48","20"
"Ty Lawson Sac - G","$0 ","$0 ","$-","1%","237/522","0.454","173","34","681","180","334","74","6"
"Lucas Nogueira Tor - F,C","$0 ","$0 ","$1.00 ","3%","103/156","0.66","44","3","253","244","42","52","89"
"Wayne Ellington Mia - G,F","$0 ","$0 ","$-","1%","231/555","0.416","37","149","648","131","70","35","4"
"Langston Galloway Det - G","$0 ","$0 ","$-","1%","207/545","0.38","51","120","585","156","93","46","6"
"Jason Smith Was - F,C","$0 ","$0 ","$-","1%","174/329","0.529","35","37","420","258","37","21","54"
"Jerami Grant OKC - F","$0 ","$0 ","$-","1%","152/328","0.463","90","43","437","205","46","33","79"
"Anthony Tolliver Det - F","$0 ","$0 ","$-","0%","155/351","0.442","61","90","461","237","77","34","20"
"Aron Baynes Bos - C","$0 ","$0 ","$-","2%","143/279","0.513","79","0","365","333","32","17","39"
"Jeff Green Cle - F","$0 ","$0 ","$-","1%","220/558","0.394","145","53","638","214","81","37","13"
"Kyle Anderson SA - G,F","$0 ","$0 ","$-","1%","93/209","0.445","45","15","246","208","92","51","26"
"Gerald Henderson Phi - G,F","$0 ","$0 ","$-","0%","234/552","0.424","133","61","662","185","112","40","14"
"Jason Terry Mil - G","$0 ","$0 ","$-","0%","105/243","0.432","24","73","307","106","98","46","20"
"Shaun Livingston GS - G","$0 ","$0 ","$-","3%","173/316","0.547","42","1","389","151","139","38","20"
"Brandon Jennings Was - G","$0 ","$0 ","$-","0%","192/535","0.359","114","79","577","196","395","70","4"
"Arron Afflalo Orl - G,F","$0 ","$0 ","$-","1%","185/420","0.44","83","62","515","125","78","21","7"
"Corey Brewer LAL - G,F","$0 ","$0 ","$-","0%","147/348","0.422","50","27","371","166","97","61","20"
"Al Jefferson Ind - F,C","$0 ","$0 ","$1.30 ","3%","235/471","0.499","65","0","535","278","57","19","16"
"Shabazz Muhammad Min - G,F","$0 ","$0 ","$-","2%","288/598","0.482","147","49","772","220","35","22","6"
"Justin Anderson Phi - F","$0 ","$0 ","$-","1%","186/438","0.425","102","58","532","245","66","41","23"
"Nemanja Bjelica Min - F","$0 ","$0 ","$-","1%","151/356","0.424","45","56","403","244","79","40","20"
"Justin Hamilton Tor - F,C","$0 ","$0 ","$-","0%","174/379","0.459","39","55","442","262","55","29","43"
"Meyers Leonard Por - F,C","$0 ","$0 ","$-","1%","146/378","0.386","35","74","401","237","71","13","28"
"Jerian Grant Chi - G","$0 ","$0 ","$-","5%","128/301","0.425","65","49","370","111","121","47","8"
"Devin Harris Dal - G","$0 ","$0 ","$-","0%","136/341","0.399","107","58","437","127","136","43","7"
"Salah Mejri Dal - C","$0 ","$0 ","$-","0%","88/137","0.642","36","1","213","308","14","32","61"
"Tim Frazier Was - G","$0 ","$0 ","$-","1%","163/404","0.403","98","40","464","173","335","56","6"
"Terrence Jones Mil - F","$0 ","$0 ","$-","0%","231/492","0.47","103","19","584","306","59","40","54"
"Tarik Black Hou - F,C","$0 ","$0 ","$-","0%","150/293","0.512","82","1","383","342","39","30","44"
"Montrezl Harrell LAC - F,C","$0 ","$0 ","$-","1%","225/345","0.652","76","1","527","219","64","20","42"
"Mirza Teletovic Mil - F","$0 ","$0 ","$-","1%","156/418","0.373","35","104","451","162","48","12","13"
"Ian Clark NO - G","$0 ","$0 ","$-","1%","211/433","0.487","44","61","527","122","90","39","8"
"Wesley Johnson LAC - G,F","$0 ","$0 ","$-","0%","73/200","0.365","11","29","186","181","23","29","30"
"Roy Hibbert Den - C","$0 ","$0 ","$-","0%","80/147","0.544","61","0","221","152","21","8","46"
"JaVale McGee GS - C","$0 ","$0 ","$1.50 ","6%","208/319","0.652","56","0","472","244","17","19","67"
"Spencer Dinwiddie Bkn - G","$0 ","$0 ","$-","0%","134/302","0.444","126","38","432","164","185","44","23"
"Spencer Hawes Mil - F,C","$0 ","$0 ","$-","0%","134/277","0.484","44","25","337","191","81","15","30"
"Darrell Arthur Den - F,C","$0 ","$0 ","$-","0%","95/215","0.442","19","53","262","112","42","19","21"
"D.J. Augustin Orl - G","$0 ","$0 ","$-","0%","195/517","0.377","131","95","616","117","209","31","1"
"Michael Beasley NY - F","$0 ","$0 ","$1.00 ","9%","216/406","0.532","78","18","528","193","53","27","28"
"Rodney McGruder Mia - G","$0 ","$0 ","$-","0%","190/460","0.413","44","73","497","256","124","46","18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
