"Player","League Value","Proj Value","Avg Cost","% Owned","FGM/A","FG%","FTM","3PTM","PTS","REB","AST","ST","BLK"
"Maurice Harkless Por - F","$1 ","$1 ","$1.00 ","39%","314/624","0.503","77","68","773","341","88","85","69"
"Austin Rivers LAC - G","$1 ","$1 ","$1.00 ","39%","323/731","0.442","132","111","889","161","204","48","10"
"Enes Kanter NY - C","$1 ","$1 ","$1.80 ","71%","402/737","0.545","224","5","1033","482","67","32","38"
"Derrick Rose Cle - G","$1 ","$1 ","$1.90 ","76%","460/977","0.471","221","13","1154","246","283","44","17"
"Tyler Johnson Mia - G","$1 ","$1 ","$1.20 ","59%","357/824","0.433","195","93","1002","293","233","84","44"
"Taj Gibson Min - F,C","$1 ","$1 ","$1.10 ","61%","365/709","0.515","113","3","846","485","73","41","65"
"Courtney Lee NY - G,F","$1 ","$1 ","$1.10 ","41%","321/704","0.456","85","108","835","258","179","81","24"
"Richaun Holmes Phi - F,C","$1 ","$1 ","$1.00 ","37%","230/412","0.558","72","27","559","311","58","42","54"
"Trevor Booker Bkn - F","$1 ","$1 ","$1.10 ","38%","305/591","0.516","74","25","709","571","138","75","28"
"Rondae Hollis-Jefferson Bkn - F","$1 ","$1 ","$1.30 ","39%","235/542","0.434","190","15","675","452","154","82","44"
"Mason Plumlee Den - F,C","$1 ","$1 ","$1.10 ","43%","334/623","0.536","174","0","842","605","284","69","92"
"Cody Zeller Cha - F,C","$1 ","$1 ","$1.00 ","31%","253/443","0.571","133","0","639","404","99","62","58"
"De'Aaron Fox Sac - G","$1 ","$1 ","$1.60 ","65%","-/-","-","-","-","-","-","-","-","-"
"Tyreke Evans Mem - G,F","$1 ","$1 ","$1.10 ","28%","150/370","0.405","69","42","411","136","124","35","9"
"Jahlil Okafor Phi - C","$1 ","$1 ","$1.10 ","38%","242/471","0.514","106","0","590","240","58","20","49"
"Larry Nance Jr. LAL - F","$0 ","$0 ","$1.20 ","16%","190/361","0.526","59","10","449","369","96","82","40"
"Jaylen Brown Bos - G,F","$0 ","$0 ","$1.10 ","28%","192/423","0.454","85","46","515","220","64","35","18"
"Josh Richardson Mia - F","$0 ","$0 ","$1.40 ","35%","202/513","0.394","60","75","539","169","139","60","40"
"Patty Mills SA - G","$0 ","$0 ","$1.10 ","27%","273/621","0.44","66","147","759","141","279","65","3"
"Skal Labissiere Sac - F,C","$0 ","$0 ","$1.30 ","26%","117/218","0.537","52","3","289","162","27","16","13"
"Andre Roberson OKC - G,F","$0 ","$0 ","$1.60 ","12%","215/463","0.464","47","45","522","403","79","94","80"
"Andre Iguodala GS - G,F","$0 ","$0 ","$1.50 ","34%","219/415","0.528","72","64","574","304","261","76","39"
"John Collins Atl - F","$0 ","$0 ","$2.00 ","22%","-/-","-","-","-","-","-","-","-","-"
"Caris LeVert Bkn - G,F","$0 ","$0 ","$1.20 ","9%","171/380","0.45","67","59","468","188","110","49","8"
"Danny Green SA - G,F","$0 ","$0 ","$1.30 ","16%","176/449","0.392","27","118","497","224","124","70","57"
"Dewayne Dedmon Atl - C","$0 ","$0 ","$2.30 ","42%","161/259","0.622","65","0","387","496","44","37","61"
"J.R. Smith Cle - G,F","$0 ","$0 ","$1.30 ","22%","123/356","0.346","10","95","351","113","62","40","11"
"Boban Marjanovic Det - C","$0 ","$0 ","$1.60 ","13%","72/132","0.545","47","0","191","130","9","6","12"
"Malik Monk Cha - G","$0 ","$0 ","$1.20 ","17%","-/-","-","-","-","-","-","-","-","-"
"Norman Powell Tor - G,F","$0 ","$0 ","$1.50 ","20%","227/506","0.449","126","56","636","169","82","52","14"
"Patrick Patterson OKC - F,C","$0 ","$0 ","$1.00 ","7%","154/384","0.401","43","94","445","293","76","40","23"
"Jeremy Lamb Cha - G,F","$0 ","$0 ","$1.70 ","31%","226/491","0.46","110","41","603","264","74","27","23"
"JaMychal Green Mem - F","$0 ","$0 ","$1.50 ","28%","250/499","0.501","134","55","689","544","84","47","34"
